ID,Sector,Stream,Course,Qualification,Career,Salary_LPA,Demand_2025
97,E-Commerce,Science (PCB),B.Sc Nursing,10+2 + NEET,Digital Marketer (E-Commerce) Variant 44,12.3,Evergreen
98,Cybersecurity,Science (PCM),B.Tech Mechanical,10+2 + JEE,Incident Responder (Cybersecurity) Variant 45,22.8,Emerging
99,Healthcare,Any Stream,MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Doctor (Healthcare),21.3,Emerging
100,Media & Design,Any Stream,MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Journalist (Media & Design),13.7,High
101,Space Tech,Any Stream,MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Drone Pilot (Space Tech) Variant 46,5.9,Stable
102,Finance & Commerce,Science (PCM),B.Sc Data Science,10+2 + CLAT,Actuary (Finance & Commerce),3.3,Evergreen
103,Space Tech,Science (PCM),B.Tech Mechanical,10+2 + JEE,Space Engineer (Space Tech) Variant 47,24.3,Emerging
104,Government & Defense,Science (PCM),B.Tech CSE,10+2 + JEE,Civil Servant (Government & Defense),20.5,Stable
105,Finance & Commerce,Any Stream,LLB,Bachelor's + UPSC,Forensic Accountant (Finance & Commerce),7.5,Stable
106,FinTech,Arts,BA Psychology,10+2 + Bachelor's,FinTech Developer (FinTech),16.4,Emerging
107,Green Energy,Science (PCM),B.Tech Civil,10+2 + JEE,Sustainability Consultant (Green Energy) Variant 48,16.8,Stable
108,IT & Technology,Science (PCM/CS),B.Tech Aerospace,10+2 + JEE,AI Engineer (IT & Technology),14.7,Stable
109,Gig Economy,Any Stream,MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Gig Worker Coordinator (Gig Economy) Variant 49,4.7,High
110,Healthcare,Science (PCB),B.Sc Nursing,10+2 + NEET,Pharmacist (Healthcare) Variant 50,16.0,High
111,IT & Technology,Arts,BHM,10+2 + Bachelor's,Cloud Architect (IT & Technology),23.4,Evergreen
112,E-Commerce,Science (PCB),B.Pharma,10+2 + NEET,Online Retail Specialist (E-Commerce) Variant 51,23.9,Stable
113,Science & Research,Science (PCM/CS),B.Tech Aerospace,10+2 + JEE,Biotechnologist (Science & Research) Variant 52,15.3,Emerging
114,Green Energy,Commerce,B.Com,10+2 + CLAT,Sustainability Consultant (Green Energy) Variant 53,4.9,High
115,Engineering,Science (PCB),B.Sc Nursing,10+2 + NEET,Robotics Engineer (Engineering),8.6,Emerging
116,Space Tech,Arts,BA Psychology,Bachelor's + UPSC,Satellite Technician (Space Tech) Variant 54,5.3,Stable
117,E-Commerce,Science (PCM),B.Tech Civil,10+2 + JEE,Digital Marketer (E-Commerce) Variant 55,10.6,Evergreen
118,Space Tech,Commerce,BHM,10+2 + Diploma,Drone Pilot (Space Tech) Variant 56,6.5,Evergreen
119,Engineering,Science (PCM),B.Tech Aerospace,10+2 + JEE,Electrical Engineer (Engineering) Variant 57,17.9,Emerging
120,FinTech,Science (PCB),B.Sc Nursing,10+2 + NEET,FinTech Developer (FinTech) Variant 58,8.2,Evergreen
121,Cybersecurity,Any Stream,BHM,Bachelor's + Cert,Ethical Hacker (Cybersecurity) Variant 59,12.3,High
122,Science & Research,Any Stream,BHM,Bachelor's + Cert,Research Scientist (Science & Research),18.0,High
123,Agriculture & Allied,Science (PCM),B.Tech Mechanical,10+2 + JEE,Agri-Business Manager (Agriculture & Allied),5.5,Emerging
124,Government & Defense,Science (PCM),B.Tech Mechanical,10+2 + JEE,Civil Servant (Government & Defense) Variant 60,23.2,Evergreen
125,Arts & Humanities,Science (PCB),B.Sc Nursing,10+2 + NEET,Philosopher (Arts & Humanities) Variant 61,7.1,Evergreen
126,FinTech,Commerce,BA Psychology,10+2 + Bachelor's,FinTech Developer (FinTech) Variant 62,4.7,High
127,Hospitality & Travel,Science (PCM/CS),B.Sc Data Science,10+2 + CLAT,Chef (Hospitality & Travel) Variant 63,4.3,Stable
128,FinTech,Any Stream,MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,FinTech Developer (FinTech) Variant 64,22.1,Emerging
129,Space Tech,Science (PCB),MBBS,10+2 + NEET,Astronaut Trainer (Space Tech),10.7,High
130,Space Tech,Science (PCB),B.Sc Nursing,10+2 + NEET,Drone Pilot (Space Tech) Variant 65,10.0,Evergreen
131,Media & Design,Science (PCM),B.Pharma,10+2 + NEET,UI/UX Designer (Media & Design) Variant 66,17.1,Evergreen
132,Healthcare,Science (PCB),MBBS,10+2 + NEET,Dentist (Healthcare),12.4,Stable
133,Cybersecurity,Science (PCM/CS),B.Tech CSE,10+2 + JEE,Security Analyst (Cybersecurity) Variant 67,16.2,Stable
134,FinTech,Science (PCM),B.Tech Mechanical,10+2 + JEE,Digital Banker (FinTech) Variant 68,9.2,Evergreen
135,AI & ML,Science (PCM),B.Tech Civil,10+2 + JEE,Prompt Engineer (AI & ML) Variant 69,15.9,Stable
136,Arts & Humanities,Science (PCB),MBBS,10+2 + NEET,Artist (Arts & Humanities) Variant 70,22.3,Growing
137,E-Commerce,Any Stream,BA Psychology,Bachelor's + UPSC,Supply Chain Analyst (E-Commerce) Variant 71,15.4,Evergreen
138,Hospitality & Travel,Science (PCM),B.Tech Aerospace,10+2 + JEE,Travel Agent (Hospitality & Travel) Variant 72,20.3,Emerging
139,AI & ML,Science (PCM),B.Tech Mechanical,10+2 + JEE,Prompt Engineer (AI & ML) Variant 73,17.7,High
140,Agriculture & Allied,Science (PCB),MBBS,10+2 + NEET,Agricultural Engineer (Agriculture & Allied),22.7,Emerging
141,Hospitality & Travel,Science (PCM),B.Tech Mechanical,10+2 + JEE,Chef (Hospitality & Travel) Variant 74,13.8,Growing
142,Healthcare,Science (PCM),B.Tech CSE,10+2 + JEE,Pharmacist (Healthcare) Variant 75,8.3,High
143,Gig Economy,Science (PCB),B.Sc Nursing,10+2 + NEET,Platform Developer (Gig Economy) Variant 76,16.5,Stable
144,Healthcare,Science (PCB),MBBS,10+2 + NEET,Genetic Counselor (Healthcare),22.3,High
145,IT & Technology,Science (PCB),B.Sc Nursing,10+2 + NEET,Full-Stack Developer (IT & Technology) Variant 77,12.9,Evergreen
146,Management,Any Stream,MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Supply Chain Manager (Management) Variant 78,22.5,Growing
147,FinTech,Science (PCM),B.Tech CSE,10+2 + JEE,Digital Banker (FinTech) Variant 79,10.1,Growing
148,Law,Science (PCM),B.Tech Civil,10+2 + JEE,Legal Advisor (Law) Variant 80,22.9,High
149,Media & Design,Science (PCB),BDS,10+2 + NEET,Film Director (Media & Design),9.1,Emerging
150,Media & Design,Science (PCB),B.Sc Nursing,10+2 + NEET,Graphic Designer (Media & Design),16.7,Stable
151,Management,Commerce,B.Com,10+2 + Bachelor's,Supply Chain Manager (Management) Variant 81,7.7,Emerging
152,Healthcare,Science (PCM),B.Tech Mechanical,10+2 + JEE,Nurse (Healthcare),13.7,Stable
153,Hospitality & Travel,Arts,BHM,Bachelor's + Cert,Chef (Hospitality & Travel) Variant 82,23.8,Emerging
154,Cybersecurity,Any Stream,MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Security Analyst (Cybersecurity) Variant 83,12.0,Growing
155,Green Energy,Any Stream,BA Psychology,10+2 + Bachelor's,Renewable Energy Engineer (Green Energy) Variant 84,21.0,Stable
156,Hospitality & Travel,Science (PCM),B.Tech Mechanical,10+2 + JEE,Travel Agent (Hospitality & Travel) Variant 85,18.7,Emerging
157,Agriculture & Allied,Science (PCM),B.Tech Civil,10+2 + JEE,Agricultural Engineer (Agriculture & Allied) Variant 86,5.2,Evergreen
158,FinTech,Science (PCM),B.Tech Mechanical,10+2 + JEE,Digital Banker (FinTech) Variant 87,18.9,Stable
159,AI & ML,Any Stream,B.Com,10+2 + CLAT,AI Researcher (AI & ML),5.4,Growing
160,Education,Arts,BHM,10+2 + Diploma,Professor (Education) Variant 88,10.3,Stable
161,Education,Any Stream,LLB,10+2 + Diploma,Teacher (Education),22.4,Growing
162,Management,Science (PCM),B.Pharma,10+2 + NEET,Supply Chain Manager (Management) Variant 89,23.2,Evergreen
163,Gig Economy,Science (PCM/CS),B.Tech Aerospace,10+2 + JEE,Platform Developer (Gig Economy) Variant 90,24.7,Growing
164,AI & ML,Commerce,BA Psychology,10+2 + Bachelor's,Machine Learning Engineer (AI & ML),16.5,Emerging
165,Healthcare,Science (PCM),B.Sc Data Science,10+2 + CLAT,Nurse (Healthcare) Variant 91,9.3,Emerging
166,IT & Technology,Commerce,BA Psychology,10+2 + Bachelor's,Cloud Architect (IT & Technology) Variant 92,4.6,Evergreen
167,Green Energy,Any Stream,LLB,Bachelor's + Cert,Environmental Analyst (Green Energy) Variant 93,4.3,Stable
168,E-Commerce,Science (PCB),B.Pharma,10+2 + NEET,E-Commerce Manager (E-Commerce) Variant 94,11.9,Evergreen
169,Media & Design,Science (PCM),B.Tech Mechanical,10+2 + JEE,Film Director (Media & Design) Variant 95,6.5,High
170,Law,Commerce,BHM,10+2 + Bachelor's,Corporate Lawyer (Law) Variant 96,14.0,Growing
171,Law,Arts,BA Psychology,10+2 + CLAT,Criminal Lawyer (Law) Variant 97,9.7,Emerging
172,Science & Research,Science (PCM),B.Tech Civil,10+2 + JEE,Research Scientist (Science & Research) Variant 98,5.2,Growing
173,Finance & Commerce,Science (PCB),B.Sc Nursing,10+2 + NEET,Tax Consultant (Finance & Commerce) Variant 99,17.0,High
174,Science & Research,Commerce,B.Com,10+2 + Bachelor's,Chemist (Science & Research) Variant 100,18.1,Stable
175,Hospitality & Travel,Arts,BA Psychology,10+2 + CLAT,Chef (Hospitality & Travel) Variant 101,16.4,Stable
176,Education,Science (PCM/CS),B.Tech CSE,10+2 + JEE,School Administrator (Education) Variant 102,4.5,Evergreen
177,Space Tech,Science (PCB),BDS,10+2 + NEET,Drone Pilot (Space Tech) Variant 103,23.5,High
178,AI & ML,Science (PCM),B.Tech Civil,10+2 + JEE,AI Researcher (AI & ML) Variant 104,23.2,Growing
179,Gig Economy,Science (PCB),MBBS,10+2 + NEET,Gig Worker Coordinator (Gig Economy) Variant 105,3.9,High
180,Education,Science (PCM),B.Tech CSE,10+2 + JEE,Professor (Education) Variant 106,24.9,Emerging
181,Government & Defense,Any Stream,B.Com,Bachelor's + UPSC,Civil Servant (Government & Defense) Variant 107,9.3,Evergreen
182,Government & Defense,Arts,BA Psychology,10+2 + CLAT,Defense Analyst (Government & Defense),3.9,Growing
183,Healthcare,Science (PCB),B.Sc Nursing,10+2 + NEET,Physiotherapist (Healthcare),16.6,Stable
184,Space Tech,Science (PCM),B.Tech Mechanical,10+2 + JEE,Astronaut Trainer (Space Tech) Variant 108,23.4,Evergreen
185,Gig Economy,Science (PCM/CS),B.Tech CSE,10+2 + JEE,Platform Developer (Gig Economy) Variant 109,17.9,High
186,Law,Science (PCB),BDS,10+2 + NEET,Criminal Lawyer (Law) Variant 110,16.9,Stable
187,Arts & Humanities,Science (PCM/CS),B.Sc Data Science,10+2 + CLAT,Philosopher (Arts & Humanities) Variant 111,21.2,Stable
188,IT & Technology,Science (PCB),B.Pharma,10+2 + NEET,Blockchain Developer (IT & Technology) Variant 112,22.7,Emerging
189,Science & Research,Commerce,B.Com,10+2 + Bachelor's,Physicist (Science & Research),8.4,Emerging
190,Gig Economy,Any Stream,LLB,10+2 + Diploma,Gig Worker Coordinator (Gig Economy) Variant 113,24.5,Evergreen
191,Green Energy,Science (PCB),MBBS,10+2 + NEET,Sustainability Consultant (Green Energy) Variant 114,10.6,Evergreen
192,Gig Economy,Any Stream,BHM,10+2 + Bachelor's,Platform Developer (Gig Economy) Variant 115,22.0,High
193,Science & Research,Science (PCM),B.Tech Civil,10+2 + JEE,Research Scientist (Science & Research) Variant 116,4.8,Growing
194,Space Tech,Arts,BA Psychology,10+2 + CLAT,Space Engineer (Space Tech) Variant 117,18.8,Stable
195,Law,Commerce,B.Com,Bachelor's + UPSC,Corporate Lawyer (Law) Variant 118,24.0,Evergreen
196,Gig Economy,Commerce,BA Psychology,10+2 + Bachelor's,Gig Worker Coordinator (Gig Economy) Variant 119,4.4,Evergreen
197,Government & Defense,Any Stream,B.Com,Bachelor's + UPSC,Defense Analyst (Government & Defense) Variant 120,17.5,High
198,Healthcare,Science (PCM),B.Sc Data Science,10+2 + CLAT,Ayurvedic Doctor (Healthcare),10.3,Growing
199,Law,Science (PCB),MBBS,10+2 + NEET,Corporate Lawyer (Law) Variant 121,20.0,Emerging
200,IT & Technology,Science (PCB),BDS,10+2 + NEET,Cloud Architect (IT & Technology) Variant 122,16.0,Growing
201,Green Energy,Science (PCM),B.Sc Data Science,10+2 + Diploma,Sustainability Consultant (Green Energy) Variant 123,9.3,Emerging
202,Law,Commerce,BA Psychology,10+2 + Bachelor's,Legal Advisor (Law) Variant 124,22.7,High
203,Law,Science (PCB),MBBS,10+2 + NEET,Legal Advisor (Law) Variant 125,7.5,High
204,AI & ML,Science (PCM),B.Tech Civil,10+2 + JEE,Metaverse Designer (AI & ML) Variant 126,21.7,Stable
205,Healthcare,Science (PCM),B.Pharma,10+2 + NEET,Nurse (Healthcare) Variant 127,15.2,Growing
206,FinTech,Science (PCM),B.Tech Mechanical,10+2 + JEE,Blockchain Specialist (FinTech) Variant 128,23.5,Emerging
207,Media & Design,Science (PCM/CS),B.Tech Aerospace,10+2 + JEE,Journalist (Media & Design) Variant 129,24.8,Evergreen
208,Media & Design,Science (PCB),B.Sc Nursing,10+2 + NEET,UI/UX Designer (Media & Design) Variant 130,15.7,Emerging
209,Arts & Humanities,Science (PCM/CS),B.Sc Data Science,Bachelor's + Cert,Historian (Arts & Humanities) Variant 131,7.8,Emerging
210,Management,Science (PCM),B.Tech Aerospace,10+2 + JEE,Startup Founder (Management),5.9,Emerging
211,Agriculture & Allied,Any Stream,MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Farm Manager (Agriculture & Allied) Variant 132,3.9,Growing
212,Science & Research,Science (PCM),B.Tech Civil,10+2 + JEE,Biotechnologist (Science & Research) Variant 133,13.7,Stable
213,E-Commerce,Any Stream,MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Digital Marketer (E-Commerce) Variant 134,6.4,Stable
214,Gig Economy,Science (PCM),B.Tech Aerospace,10+2 + JEE,Gig Worker Coordinator (Gig Economy) Variant 135,19.7,Stable
215,Management,Science (PCM),B.Tech Mechanical,10+2 + JEE,Supply Chain Manager (Management) Variant 136,6.7,Stable
216,E-Commerce,Arts,BHM,10+2 + Diploma,Supply Chain Analyst (E-Commerce) Variant 137,13.2,Evergreen
217,Space Tech,Commerce,B.Com,Bachelor's + Cert,Space Engineer (Space Tech) Variant 138,17.1,Stable
218,Media & Design,Science (PCM/CS),B.Tech Mechanical,10+2 + JEE,Content Creator (Media & Design) Variant 139,23.7,Evergreen
219,Engineering,Science (PCB),MBBS,10+2 + NEET,Aerospace Engineer (Engineering) Variant 140,9.9,Growing
220,E-Commerce,Science (PCM),B.Tech Aerospace,10+2 + JEE,Supply Chain Analyst (E-Commerce) Variant 141,10.4,Growing
221,AI & ML,Commerce,BA Psychology,10+2 + Bachelor's,AI Researcher (AI & ML) Variant 142,10.0,Evergreen
222,E-Commerce,Science (PCB),MBBS,10+2 + NEET,Digital Marketer (E-Commerce) Variant 143,21.4,Emerging
223,Green Energy,Arts,BHM,10+2 + Diploma,Renewable Energy Engineer (Green Energy) Variant 144,20.4,Growing
224,Government & Defense,Any Stream,BHM,10+2 + Diploma,Policy Maker (Government & Defense) Variant 145,4.9,Emerging
225,FinTech,Science (PCM),B.Tech Aerospace,10+2 + JEE,Blockchain Specialist (FinTech) Variant 146,21.6,Evergreen
226,Engineering,Science (PCM/CS),B.Tech CSE,10+2 + JEE,EV Designer (Engineering) Variant 147,10.4,Evergreen
227,Law,Science (PCB),B.Sc Nursing,10+2 + NEET,Judge (Law) Variant 148,12.7,Evergreen
228,Law,Science (PCB),B.Pharma,10+2 + NEET,Judge (Law) Variant 149,9.1,Evergreen
229,IT & Technology,Any Stream,B.Com,10+2 + Bachelor's,Data Scientist (IT & Technology),16.2,Growing
230,Gig Economy,Science (PCB),MBBS,10+2 + NEET,Platform Developer (Gig Economy) Variant 150,16.4,Growing
231,Cybersecurity,Science (PCM),B.Pharma,10+2 + NEET,Incident Responder (Cybersecurity) Variant 151,16.2,Stable
232,Healthcare,Science (PCM/CS),B.Tech Aerospace,10+2 + JEE,Physiotherapist (Healthcare) Variant 152,23.3,High
